Date,Day_Name,Day_of_Year,End_Hour,Month_Name,Production,Season,Source,Start_Hour
1/13/2020,Monday,13,8,January,3289,Winter,Wind,7
1/13/2020,Monday,13,13,January,7784,Winter,Wind,12
1/13/2020,Monday,13,15,January,9065,Winter,Wind,14
1/13/2020,Monday,13,16,January,9037,Winter,Wind,15
1/13/2020,Monday,13,23,January,11822,Winter,Wind,22
1/13/2020,Monday,13,0,January,12067,Winter,Wind,23
1/13/2020,Monday,13,6,January,2719,Winter,Wind,5
1/13/2020,Monday,13,7,January,2987,Winter,Wind,6
1/13/2020,Monday,13,12,January,6342,Winter,Wind,11
1/13/2020,Monday,13,17,January,9163,Winter,Wind,16
1/13/2020,Monday,13,11,January,5244,Winter,Wind,10
1/14/2020,Tuesday,14,13,January,14254,Winter,Wind,12
1/14/2020,Tuesday,14,22,January,12686,Winter,Wind,21
1/14/2020,Tuesday,14,16,January,13814,Winter,Wind,15
1/14/2020,Tuesday,14,14,January,14275,Winter,Wind,13
1/14/2020,Tuesday,14,8,January,11776,Winter,Wind,7
1/14/2020,Tuesday,14,10,January,12280,Winter,Wind,9
1/14/2020,Tuesday,14,4,January,12358,Winter,Wind,3
1/14/2020,Tuesday,14,7,January,11656,Winter,Wind,6
1/14/2020,Tuesday,14,1,January,12199,Winter,Wind,0
1/14/2020,Tuesday,14,5,January,12271,Winter,Wind,4
1/14/2020,Tuesday,14,23,January,12316,Winter,Wind,22
1/14/2020,Tuesday,14,6,January,11947,Winter,Wind,5
1/14/2020,Tuesday,14,18,January,12678,Winter,Wind,17
1/14/2020,Tuesday,14,21,January,12731,Winter,Wind,20
1/14/2020,Tuesday,14,12,January,13956,Winter,Wind,11
1/14/2020,Tuesday,14,20,January,12748,Winter,Wind,19
1/14/2020,Tuesday,14,11,January,13219,Winter,Wind,10
1/14/2020,Tuesday,14,19,January,12733,Winter,Wind,18
1/14/2020,Tuesday,14,17,January,13118,Winter,Wind,16
1/14/2020,Tuesday,14,2,January,12193,Winter,Wind,1
1/14/2020,Tuesday,14,15,January,14053,Winter,Wind,14
1/14/2020,Tuesday,14,9,January,11793,Winter,Wind,8
1/14/2020,Tuesday,14,0,January,11923,Winter,Wind,23
1/14/2020,Tuesday,14,3,January,12262,Winter,Wind,2
1/15/2020,Wednesday,15,13,January,13650,Winter,Wind,12
1/15/2020,Wednesday,15,8,January,12869,Winter,Wind,7
1/15/2020,Wednesday,15,12,January,13354,Winter,Wind,11
1/15/2020,Wednesday,15,9,January,12815,Winter,Wind,8
1/15/2020,Wednesday,15,7,January,12597,Winter,Wind,6
1/15/2020,Wednesday,15,6,January,12548,Winter,Wind,5
1/15/2020,Wednesday,15,15,January,11330,Winter,Wind,14
1/15/2020,Wednesday,15,11,January,12946,Winter,Wind,10
1/15/2020,Wednesday,15,2,January,12014,Winter,Wind,1
1/15/2020,Wednesday,15,4,January,12352,Winter,Wind,3
1/15/2020,Wednesday,15,3,January,12222,Winter,Wind,2
1/15/2020,Wednesday,15,5,January,12461,Winter,Wind,4
1/15/2020,Wednesday,15,10,January,12681,Winter,Wind,9
1/15/2020,Wednesday,15,19,January,5712,Winter,Wind,18
1/15/2020,Wednesday,15,22,January,4745,Winter,Wind,21
1/15/2020,Wednesday,15,1,January,11939,Winter,Wind,0
1/15/2020,Wednesday,15,21,January,4982,Winter,Wind,20
1/15/2020,Wednesday,15,23,January,4397,Winter,Wind,22
1/15/2020,Wednesday,15,18,January,6725,Winter,Wind,17
1/15/2020,Wednesday,15,14,January,12809,Winter,Wind,13
1/15/2020,Wednesday,15,17,January,7912,Winter,Wind,16
1/15/2020,Wednesday,15,16,January,9571,Winter,Wind,15
1/15/2020,Wednesday,15,20,January,5279,Winter,Wind,19
1/15/2020,Wednesday,15,0,January,3890,Winter,Wind,23
1/16/2020,Thursday,16,1,January,3422,Winter,Wind,0
1/16/2020,Thursday,16,0,January,10352,Winter,Wind,23
1/16/2020,Thursday,16,6,January,3920,Winter,Wind,5
1/16/2020,Thursday,16,2,January,3112,Winter,Wind,1
1/16/2020,Thursday,16,13,January,8932,Winter,Wind,12
1/16/2020,Thursday,16,19,January,10622,Winter,Wind,18
1/16/2020,Thursday,16,15,January,9497,Winter,Wind,14
1/16/2020,Thursday,16,23,January,10727,Winter,Wind,22
1/16/2020,Thursday,16,9,January,6369,Winter,Wind,8
1/16/2020,Thursday,16,11,January,8295,Winter,Wind,10
1/16/2020,Thursday,16,21,January,11108,Winter,Wind,20
1/16/2020,Thursday,16,8,January,5457,Winter,Wind,7
1/16/2020,Thursday,16,22,January,11116,Winter,Wind,21
1/16/2020,Thursday,16,20,January,11142,Winter,Wind,19
1/16/2020,Thursday,16,10,January,7418,Winter,Wind,9
1/16/2020,Thursday,16,12,January,8618,Winter,Wind,11
1/16/2020,Thursday,16,14,January,9404,Winter,Wind,13
1/16/2020,Thursday,16,5,January,3489,Winter,Wind,4
1/16/2020,Thursday,16,7,January,4609,Winter,Wind,6
1/16/2020,Thursday,16,4,January,3101,Winter,Wind,3
1/16/2020,Thursday,16,18,January,9521,Winter,Wind,17
1/16/2020,Thursday,16,3,January,2998,Winter,Wind,2
1/16/2020,Thursday,16,16,January,9452,Winter,Wind,15
1/16/2020,Thursday,16,17,January,9123,Winter,Wind,16
1/17/2020,Friday,17,15,January,10045,Winter,Wind,14
1/17/2020,Friday,17,23,January,6330,Winter,Wind,22
1/17/2020,Friday,17,0,January,6445,Winter,Wind,23
1/17/2020,Friday,17,6,January,8520,Winter,Wind,5
1/17/2020,Friday,17,5,January,8722,Winter,Wind,4
1/17/2020,Friday,17,12,January,7934,Winter,Wind,11
1/17/2020,Friday,17,4,January,9190,Winter,Wind,3
1/17/2020,Friday,17,2,January,9434,Winter,Wind,1
1/17/2020,Friday,17,7,January,8342,Winter,Wind,6
1/17/2020,Friday,17,3,January,9390,Winter,Wind,2
1/17/2020,Friday,17,8,January,8552,Winter,Wind,7
1/17/2020,Friday,17,13,January,8804,Winter,Wind,12
1/17/2020,Friday,17,14,January,9858,Winter,Wind,13
1/17/2020,Friday,17,9,January,8160,Winter,Wind,8
1/17/2020,Friday,17,10,January,7859,Winter,Wind,9
1/17/2020,Friday,17,17,January,8528,Winter,Wind,16
1/17/2020,Friday,17,16,January,9611,Winter,Wind,15
1/17/2020,Friday,17,19,January,7402,Winter,Wind,18
1/17/2020,Friday,17,21,January,6777,Winter,Wind,20
1/17/2020,Friday,17,18,January,7534,Winter,Wind,17
1/17/2020,Friday,17,11,January,7800,Winter,Wind,10
1/17/2020,Friday,17,1,January,9925,Winter,Wind,0
1/17/2020,Friday,17,22,January,6614,Winter,Wind,21
1/17/2020,Friday,17,20,January,7060,Winter,Wind,19
1/18/2020,Saturday,18,13,January,2812,Winter,Solar,12
1/18/2020,Saturday,18,9,January,3089,Winter,Wind,8
1/18/2020,Saturday,18,8,January,3485,Winter,Wind,7
1/18/2020,Saturday,18,5,January,5118,Winter,Wind,4
1/18/2020,Saturday,18,23,January,3930,Winter,Wind,22
1/18/2020,Saturday,18,11,January,2843,Winter,Wind,10
1/18/2020,Saturday,18,17,January,1661,Winter,Wind,16
1/18/2020,Saturday,18,18,January,1821,Winter,Wind,17
1/18/2020,Saturday,18,20,January,3353,Winter,Wind,19
1/18/2020,Saturday,18,0,January,3800,Winter,Wind,23
